Termino,Repeticiones,Libro_Origen,Palabra,Num_Libros_Con_Termino,Es_Global,TFIDF_like,Saga,Mundo,Orden_Publicacion,Anio_Publicacion
Hauka,47,Danzante del Filo,Hauka,1,false,124.03569449191714,,,,
Adin,47,El Ritmo de la Guerra,Adin,1,false,124.03569449191714,El Archivo de las Tormentas,Roshar,4,2020
Hauka,47,TOTAL,Hauka,1,false,,,,,
Adin,47,TOTAL,Adin,1,false,,,,,
Sadeas,46,El Ritmo de la Guerra,Sadeas,4,true,57.62709655078693,El Archivo de las Tormentas,Roshar,4,2020
Lasca,46,TOTAL,Lasca,10,true,,,,,
Esfera,45,Danzante del Filo,Esfera,11,true,10.852292556759961,,,,
Scadrial,45,TOTAL,Scadrial,6,true,,,,,
Roshar,44,El camino de los reyes,Roshar,8,true,24.623094669158597,El Archivo de las Tormentas,Roshar,1,2010
Cikatriz,44,Palabras radiantes,Cikatriz,5,true,45.30325435597096,El Archivo de las Tormentas,Roshar,2,2014
Conexión,44,TOTAL,Conexión,4,true,,,,,
Chiri-Chiri,44,TOTAL,Chiri-Chiri,2,false,,,,,
Zane,43,El Heroe de las Eras,Zane,2,false,83.67413640937846,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Gaz,43,Juramentada,Gaz,4,true,53.868807645300826,El Archivo de las Tormentas,Roshar,3,2017
Eje,43,TOTAL,Eje,9,true,,,,,
Alomancia,42,Aleacion de Ley,Alomancia,9,true,18.55697559571965,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Alomancia,41,Sombras de identidad,Alomancia,9,true,18.11514284344061,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Taravangian,40,El camino de los reyes,Taravangian,4,true,50.11051873981472,El Archivo de las Tormentas,Roshar,1,2010
Cultivación,40,El Ritmo de la Guerra,Cultivación,5,true,41.18477668724633,El Archivo de las Tormentas,Roshar,4,2020
Elhokar,38,El Ritmo de la Guerra,Elhokar,4,true,47.604992802823986,El Archivo de las Tormentas,Roshar,4,2020
Hoid,38,El camino de los reyes,Hoid,9,true,16.78964458660349,El Archivo de las Tormentas,Roshar,1,2010
Lirin,38,Juramentada,Lirin,4,true,47.604992802823986,El Archivo de las Tormentas,Roshar,3,2017
Aliento,38,Palabras radiantes,Aliento,13,true,2.8161029418414296,El Archivo de las Tormentas,Roshar,2,2014
Kar,37,El Imperio Final,Kar,1,false,97.64512119576456,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Cántico,37,TOTAL,Cántico,6,true,,,,,
Kar,37,TOTAL,Kar,1,false,,,,,
Aliento,36,El Ritmo de la Guerra,Aliento,13,true,2.6678869975339863,El Archivo de las Tormentas,Roshar,4,2020
Palona,36,Juramentada,Palona,3,true,55.45602147409737,El Archivo de las Tormentas,Roshar,3,2017
Potenciación,36,TOTAL,Potenciación,4,true,,,,,
Dabbid,35,El camino de los reyes,Dabbid,4,true,43.84670389733788,El Archivo de las Tormentas,Roshar,1,2010
Alomancia,35,El metal perdido,Alomancia,9,true,15.464146329766374,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Rlain,35,Palabras radiantes,Rlain,3,true,53.915576433150214,El Archivo de las Tormentas,Roshar,2,2014
MeLaan,35,El Heroe de las Eras,MeLaan,4,true,43.84670389733788,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Kaza,35,Juramentada,Kaza,1,false,92.36700653653405,El Archivo de las Tormentas,Roshar,3,2017
Yalb,35,Palabras radiantes,Yalb,4,true,43.84670389733788,El Archivo de las Tormentas,Roshar,2,2014
Kaza,35,TOTAL,Kaza,1,false,,,,,
Lhan,35,TOTAL,Lhan,2,false,,,,,
Ruina,34,El metal perdido,Ruina,8,true,19.02693678980437,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Armonía,34,Aleacion de Ley,Armonía,5,true,35.00706018415938,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Ranette,34,Brazales de duelo,Ranette,4,true,42.593940928842514,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Dedelin,34,El aliento de los dioses,Dedelin,1,false,89.72794920691878,El aliento de los dioses,Nalthis,1,2009
Lhan,34,Palabras radiantes,Lhan,2,false,66.16094506788065,El Archivo de las Tormentas,Roshar,2,2014
Dedelin,34,TOTAL,Dedelin,1,false,,,,,
Cosmere,32,El metal perdido,Cosmere,10,true,10.76711157187881,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Irich,32,Brazales de duelo,Irich,1,false,84.44983454768827,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Straff,32,El Heroe de las Eras,Straff,3,true,49.29424131030877,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Irich,32,TOTAL,Irich,1,false,,,,,
Kalak,32,TOTAL,Kalak,4,true,,,,,
Yalb,31,Esquirla del Amanecer,Yalb,4,true,38.83565202335641,,,,
Ruina,31,Sombras de identidad,Ruina,8,true,17.348089425998104,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Investidura,30,El metal perdido,Investidura,9,true,13.254982568371178,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Conexión,30,El Ritmo de la Guerra,Conexión,4,true,37.58288905486104,El Archivo de las Tormentas,Roshar,4,2020
Ishikk,29,El camino de los reyes,Ishikk,1,false,76.53266255884249,El Archivo de las Tormentas,Roshar,1,2010
Jordis,29,Brazales de duelo,Jordis,1,false,76.53266255884249,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Wellen,29,TOTAL,Wellen,2,false,,,,,
Jordis,29,TOTAL,Jordis,1,false,,,,,
Ishikk,29,TOTAL,Ishikk,1,false,,,,,
Sangre Espectral,29,Palabras radiantes,Sangre Espectral,5,true,29.858963098253586,El Archivo de las Tormentas,Roshar,2,2014
Hesina,28,El camino de los reyes,Hesina,3,true,43.13246114652017,El Archivo de las Tormentas,Roshar,1,2010
Perpendicularidad,28,El Ritmo de la Guerra,Perpendicularidad,3,true,43.13246114652017,El Archivo de las Tormentas,Roshar,4,2020
TenSoon,27,El Pozo de la Ascension,TenSoon,6,true,22.8770422304545,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Amaram,27,El Ritmo de la Guerra,Amaram,4,true,33.82460014937494,El Archivo de las Tormentas,Roshar,4,2020
Aliento,27,El camino de los reyes,Aliento,13,true,2.0009152481504895,El Archivo de las Tormentas,Roshar,1,2010
Fen,27,El Ritmo de la Guerra,Fen,3,true,41.59201610557302,El Archivo de las Tormentas,Roshar,4,2020
Investidura,26,El Ritmo de la Guerra,Investidura,9,true,11.48765155925502,El Archivo de las Tormentas,Roshar,4,2020
Honor,26,Palabras radiantes,Honor,6,true,22.029744370067295,El Archivo de las Tormentas,Roshar,2,2014
Hoid,26,El Imperio Final,Hoid,9,true,11.48765155925502,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Palona,26,Palabras radiantes,Palona,3,true,40.051571064625875,El Archivo de las Tormentas,Roshar,2,2014
Axies,26,TOTAL,Axies,4,true,,,,,
Hoid,25,El metal perdido,Hoid,9,true,11.04581880697598,Nacidos de la Bruma (Era 2),Scadrial,4,2022
TenSoon,24,El metal perdido,TenSoon,6,true,20.33514864929289,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Ranette,24,Sombras de identidad,Ranette,4,true,30.066311243888833,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Hoid,24,El aliento de los dioses,Hoid,9,true,10.603986054696941,El aliento de los dioses,Nalthis,1,2009
Sangre Espectral,24,Juramentada,Sangre Espectral,5,true,24.710866012347793,El Archivo de las Tormentas,Roshar,3,2017
Chiri-Chiri,24,Juramentada,Chiri-Chiri,2,false,46.701843577327516,El Archivo de las Tormentas,Roshar,3,2017
Kalak,23,El camino de los reyes,Kalak,4,true,28.813548275393465,El Archivo de las Tormentas,Roshar,1,2010
Scadrial,23,El metal perdido,Scadrial,6,true,19.487850788905686,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Axies,23,El camino de los reyes,Axies,4,true,28.813548275393465,El Archivo de las Tormentas,Roshar,1,2010
Baxil,23,El camino de los reyes,Baxil,1,false,60.69831858115094,El Archivo de las Tormentas,Roshar,1,2010
Sheler,23,TOTAL,Sheler,3,true,,,,,
Braize,23,TOTAL,Braize,3,true,,,,,
Baxil,23,TOTAL,Baxil,1,false,,,,,
Aliento,22,Brazales de duelo,Aliento,13,true,1.6303753873818803,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Esfera,22,Danzante del Filo,Esfera,11,true,5.305565249971537,,,,
Yanagawn,22,El Ritmo de la Guerra,Yanagawn,3,true,33.889790900837276,El Archivo de las Tormentas,Roshar,4,2020
Sazed,22,El metal perdido,Sazed,5,true,22.65162717798548,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Straff,22,El Imperio Final,Straff,3,true,33.889790900837276,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Mem,22,TOTAL,Mem,3,true,,,,,
Wellen,21,El Heroe de las Eras,Wellen,2,false,40.86411313016158,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Braize,21,El Ritmo de la Guerra,Braize,3,true,32.34934585989013,El Archivo de las Tormentas,Roshar,4,2020
Ruina,20,Aleacion de Ley,Ruina,8,true,11.192315758708453,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Mem,20,Juramentada,Mem,3,true,30.80890081894298,El Archivo de las Tormentas,Roshar,3,2017
Intención,20,TOTAL,Intención,3,true,,,,,
Shalash,20,TOTAL,Shalash,3,true,,,,,
Chiri-Chiri,20,El Ritmo de la Guerra,Chiri-Chiri,2,false,38.91820298110626,El Archivo de las Tormentas,Roshar,4,2020
Cosmere,19,El Ritmo de la Guerra,Cosmere,10,true,6.392972495803044,El Archivo de las Tormentas,Roshar,4,2020
Sheler,19,Juramentada,Sheler,3,true,29.268455777995833,El Archivo de las Tormentas,Roshar,3,2017
Identidad,19,TOTAL,Identidad,3,true,,,,,
Lopen,18,El Ritmo de la Guerra,Lopen,5,true,18.533149509260845,El Archivo de las Tormentas,Roshar,4,2020
Ellista,18,Juramentada,Ellista,1,false,47.50303193307465,El Archivo de las Tormentas,Roshar,3,2017
Esfera,18,Brazales de duelo,Esfera,11,true,4.340917022703985,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Ellista,18,TOTAL,Ellista,1,false,,,,,
Shalash,17,El Ritmo de la Guerra,Shalash,3,true,26.187565696101533,El Archivo de las Tormentas,Roshar,4,2020
Gaz,17,El Ritmo de la Guerra,Gaz,4,true,21.296970464421257,El Archivo de las Tormentas,Roshar,4,2020
Conservación,17,El metal perdido,Conservación,7,true,11.78350206951907,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Adonalsium,17,TOTAL,Adonalsium,5,true,,,,,
Investidura,16,Brazales de duelo,Investidura,9,true,7.069324036464628,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Aliento,16,El metal perdido,Aliento,13,true,1.1857275544595494,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Perpendicularidad,16,Juramentada,Perpendicularidad,3,true,24.647120655154385,El Archivo de las Tormentas,Roshar,3,2017
Intención,16,El Ritmo de la Guerra,Intención,3,true,24.647120655154385,El Archivo de las Tormentas,Roshar,4,2020
Cosmere,15,Juramentada,Cosmere,10,true,5.0470835493181925,El Archivo de las Tormentas,Roshar,3,2017
Marsh,14,El metal perdido,Marsh,5,true,14.414671840536213,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Cultivación,14,Juramentada,Cultivación,5,true,14.414671840536213,El Archivo de las Tormentas,Roshar,3,2017
Lezian,14,El Ritmo de la Guerra,Lezian,1,false,36.94680261461362,El Archivo de las Tormentas,Roshar,4,2020
Puuli,14,Juramentada,Puuli,1,false,36.94680261461362,El Archivo de las Tormentas,Roshar,3,2017
Potenciación,14,El Ritmo de la Guerra,Potenciación,4,true,17.538681558935153,El Archivo de las Tormentas,Roshar,4,2020
Identidad,14,Brazales de duelo,Identidad,3,true,21.566230573260086,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Roshar,14,Palabras radiantes,Roshar,8,true,7.834621031095917,El Archivo de las Tormentas,Roshar,2,2014
Puuli,14,TOTAL,Puuli,1,false,,,,,
Lezian,14,TOTAL,Lezian,1,false,,,,,
Luz tormentosa,14,Danzante del Filo,Luz tormentosa,5,true,14.414671840536213,,,,
Sangre Espectral,14,El metal perdido,Sangre Espectral,5,true,14.414671840536213,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Ashweather Cett,14,TOTAL,Ashweather Cett,2,false,,,,,
Wellid,13,El metal perdido,Wellid,1,false,34.30774528499836,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Dominio,13,El Imperio Final,Dominio,5,true,13.385052423355056,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Eje,13,El Ritmo de la Guerra,Eje,9,true,5.74382577962751,El Archivo de las Tormentas,Roshar,4,2020
Conservación,13,Sombras de identidad,Conservación,7,true,9.010913347279288,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Wellid,13,TOTAL,Wellid,1,false,,,,,
Éter,13,TOTAL,Éter,3,true,,,,,
Potenciación,12,Palabras radiantes,Potenciación,4,true,15.033155621944417,El Archivo de las Tormentas,Roshar,2,2014
Cántico,12,Palabras radiantes,Cántico,6,true,10.167574324646445,El Archivo de las Tormentas,Roshar,2,2014
Walin,12,El Imperio Final,Walin,1,false,31.6686879553831,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Nale,12,Juramentada,Nale,4,true,15.033155621944417,El Archivo de las Tormentas,Roshar,3,2017
Sel,12,TOTAL,Sel,8,true,,,,,
Walin,12,TOTAL,Walin,1,false,,,,,
Aliento,11,El Pozo de la Ascension,Aliento,13,true,0.8151876936909401,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Aliento,11,Sombras de identidad,Aliento,13,true,0.8151876936909401,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Migs,11,Brazales de duelo,Migs,1,false,29.029630625767844,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Humano,11,El Ritmo de la Guerra,Humano,8,true,6.155773667289649,El Archivo de las Tormentas,Roshar,4,2020
Cikatriz,11,El Ritmo de la Guerra,Cikatriz,5,true,11.32581358899274,El Archivo de las Tormentas,Roshar,4,2020
Migs,11,TOTAL,Migs,1,false,,,,,
Nale,10,Danzante del Filo,Nale,4,true,12.52762968495368,,,,
Esfera,10,El aliento de los dioses,Esfera,11,true,2.4116205681688805,El aliento de los dioses,Nalthis,1,2009
Astilla,10,Juramentada,Astilla,10,true,3.3647223662121286,El Archivo de las Tormentas,Roshar,3,2017
Ruina,10,Brazales de duelo,Ruina,8,true,5.596157879354227,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Aliento,10,El Heroe de las Eras,Aliento,13,true,0.7410797215372183,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Astilla,10,El camino de los reyes,Astilla,10,true,3.3647223662121286,El Archivo de las Tormentas,Roshar,1,2010
Astilla,10,Juramentada,Astilla,10,true,3.3647223662121286,El Archivo de las Tormentas,Roshar,3,2017
Hesina,10,Juramentada,Hesina,3,true,15.40445040947149,El Archivo de las Tormentas,Roshar,3,2017
Tanavast,10,TOTAL,Tanavast,4,true,,,,,
Lasca,9,El camino de los reyes,Lasca,10,true,3.0282501295909157,El Archivo de las Tormentas,Roshar,1,2010
Adonalsium,9,Juramentada,Adonalsium,5,true,9.266574754630422,El Archivo de las Tormentas,Roshar,3,2017
Aliento,9,El Imperio Final,Aliento,13,true,0.6669717493834966,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Geranid,9,El camino de los reyes,Geranid,1,false,23.751515966537326,El Archivo de las Tormentas,Roshar,1,2010
Potenciación,9,Juramentada,Potenciación,4,true,11.274866716458313,El Archivo de las Tormentas,Roshar,3,2017
Eje,9,Sombras de identidad,Eje,9,true,3.976494770511353,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Cántico,9,El camino de los reyes,Cántico,6,true,7.625680743484833,El Archivo de las Tormentas,Roshar,1,2010
Geranid,9,TOTAL,Geranid,1,false,,,,,
Wellen,8,El Pozo de la Ascension,Wellen,2,false,15.567281192442506,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Vasher,8,Juramentada,Vasher,3,true,12.323560327577193,El Archivo de las Tormentas,Roshar,3,2017
Esfera,8,Brazales de duelo,Esfera,11,true,1.9292964545351043,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Honor,8,El camino de los reyes,Honor,6,true,6.778382883097629,El Archivo de las Tormentas,Roshar,1,2010
Dabbid,8,Juramentada,Dabbid,4,true,10.022103747962944,El Archivo de las Tormentas,Roshar,3,2017
Astilla,7,Aleacion de Ley,Astilla,10,true,2.3553056563484898,Nacidos de la Bruma (Era 2),Scadrial,1,2011
TenSoon,7,Brazales de duelo,TenSoon,6,true,5.931085022710426,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Dockson,7,El Heroe de las Eras,Dockson,3,true,10.783115286630043,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Vin,7,El metal perdido,Vin,6,true,5.931085022710426,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Fen,7,Esquirla del Amanecer,Fen,3,true,10.783115286630043,,,,
Aliento,7,Aleacion de Ley,Aliento,13,true,0.5187558050760528,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Ashweather Cett,7,El Pozo de la Ascension,Ashweather Cett,2,false,13.621371043387192,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Ashweather Cett,7,El Heroe de las Eras,Ashweather Cett,2,false,13.621371043387192,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Scadrial,6,Sombras de identidad,Scadrial,6,true,5.0837871623232225,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Scadrial,6,Brazales de duelo,Scadrial,6,true,5.0837871623232225,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Roshar,6,Danzante del Filo,Roshar,8,true,3.357694727612536,,,,
Éter,6,El metal perdido,Éter,3,true,9.242670245682895,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Lasca,6,Juramentada,Lasca,10,true,2.018833419727277,El Archivo de las Tormentas,Roshar,3,2017
Conexión,6,Brazales de duelo,Conexión,4,true,7.516577810972208,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Humano,6,El Ritmo de la Guerra,Humano,8,true,3.357694727612536,El Archivo de las Tormentas,Roshar,4,2020
Odium,6,Palabras radiantes,Odium,5,true,6.177716503086948,El Archivo de las Tormentas,Roshar,2,2014
Piedad,6,TOTAL,Piedad,2,false,,,,,
Paige,6,TOTAL,Paige,3,true,,,,,
Talenel,6,TOTAL,Talenel,3,true,,,,,
Fantasma,5,El aliento de los dioses,Fantasma,5,true,5.148097085905791,El aliento de los dioses,Nalthis,1,2009
Lasca,5,El camino de los reyes,Lasca,10,true,1.6823611831060643,El Archivo de las Tormentas,Roshar,1,2010
Odium,5,El camino de los reyes,Odium,5,true,5.148097085905791,El Archivo de las Tormentas,Roshar,1,2010
Esfera,5,El metal perdido,Esfera,11,true,1.2058102840844402,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Lopen,5,Esquirla del Amanecer,Lopen,5,true,5.148097085905791,,,,
Humano,5,Juramentada,Humano,8,true,2.7980789396771133,El Archivo de las Tormentas,Roshar,3,2017
Cosmere,5,Sombras de identidad,Cosmere,10,true,1.6823611831060643,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Cosmere,5,Brazales de duelo,Cosmere,10,true,1.6823611831060643,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Lasca,5,El Pozo de la Ascension,Lasca,10,true,1.6823611831060643,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Dor,5,El Ritmo de la Guerra,Dor,3,true,7.702225204735745,El Archivo de las Tormentas,Roshar,4,2020
Eje,5,El Ritmo de la Guerra,Eje,9,true,2.209163761395196,El Archivo de las Tormentas,Roshar,4,2020
Cosmere,5,El camino de los reyes,Cosmere,10,true,1.6823611831060643,El Archivo de las Tormentas,Roshar,1,2010
Scadrial,5,Aleacion de Ley,Scadrial,6,true,4.236489301936018,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Dieno,5,El Ritmo de la Guerra,Dieno,1,false,13.195286648076292,El Archivo de las Tormentas,Roshar,4,2020
Esfera,5,El aliento de los dioses,Esfera,11,true,1.2058102840844402,El aliento de los dioses,Nalthis,1,2009
Éter,5,El metal perdido,Éter,3,true,7.702225204735745,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Investidura,5,Palabras radiantes,Investidura,9,true,2.209163761395196,El Archivo de las Tormentas,Roshar,2,2014
Vin,5,Sombras de identidad,Vin,6,true,4.236489301936018,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Astilla,5,Brazales de duelo,Astilla,10,true,1.6823611831060643,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Lasca,5,El Heroe de las Eras,Lasca,10,true,1.6823611831060643,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Investidura,5,Juramentada,Investidura,9,true,2.209163761395196,El Archivo de las Tormentas,Roshar,3,2017
Valentía,5,TOTAL,Valentía,2,false,,,,,
Iniciación,5,TOTAL,Iniciación,3,true,,,,,
Fortuna,5,TOTAL,Fortuna,4,true,,,,,
Kenton,5,TOTAL,Kenton,2,false,,,,,
Dieno,5,TOTAL,Dieno,1,false,,,,,
Edwarn Ladrian,5,TOTAL,Edwarn Ladrian,3,true,,,,,
Kenton,4,El Pozo de la Ascension,Kenton,2,false,7.783640596221253,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Valentía,4,El Ritmo de la Guerra,Valentía,2,false,7.783640596221253,El Archivo de las Tormentas,Roshar,4,2020
Talenel,4,Juramentada,Talenel,3,true,6.161780163788596,El Archivo de las Tormentas,Roshar,3,2017
Cántico,4,Palabras radiantes,Cántico,6,true,3.3891914415488147,El Archivo de las Tormentas,Roshar,2,2014
Esfera,4,Sombras de identidad,Esfera,11,true,0.9646482272675522,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Investidura,4,Sombras de identidad,Investidura,9,true,1.767331009116157,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Aliento,4,El Ritmo de la Guerra,Aliento,13,true,0.29643188861488734,El Archivo de las Tormentas,Roshar,4,2020
Kalak,4,El Ritmo de la Guerra,Kalak,4,true,5.011051873981472,El Archivo de las Tormentas,Roshar,4,2020
Roshar,4,El metal perdido,Roshar,8,true,2.2384631517416906,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Prasanva,4,El metal perdido,Prasanva,1,false,10.556229318461034,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Dor,4,El metal perdido,Dor,3,true,6.161780163788596,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Conexión,4,Juramentada,Conexión,4,true,5.011051873981472,El Archivo de las Tormentas,Roshar,3,2017
Cosmere,4,Aleacion de Ley,Cosmere,10,true,1.3458889464848514,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Astilla,4,El Pozo de la Ascension,Astilla,10,true,1.3458889464848514,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Tanavast,4,El Ritmo de la Guerra,Tanavast,4,true,5.011051873981472,El Archivo de las Tormentas,Roshar,4,2020
Identidad,4,El metal perdido,Identidad,3,true,6.161780163788596,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Conexión,4,El metal perdido,Conexión,4,true,5.011051873981472,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Eje,4,Juramentada,Eje,9,true,1.767331009116157,El Archivo de las Tormentas,Roshar,3,2017
Kalak,4,Juramentada,Kalak,4,true,5.011051873981472,El Archivo de las Tormentas,Roshar,3,2017
Cosmere,4,Palabras radiantes,Cosmere,10,true,1.3458889464848514,El Archivo de las Tormentas,Roshar,2,2014
Astilla,4,Sombras de identidad,Astilla,10,true,1.3458889464848514,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Ashyn,4,El Ritmo de la Guerra,Ashyn,1,false,10.556229318461034,El Archivo de las Tormentas,Roshar,4,2020
Redespíritu,4,TOTAL,Redespíritu,3,true,,,,,
Nalthis,4,TOTAL,Nalthis,2,false,,,,,
Ashyn,4,TOTAL,Ashyn,1,false,,,,,
Prasanva,4,TOTAL,Prasanva,1,false,,,,,
Sangre Nocturna,4,El Ritmo de la Guerra,Sangre Nocturna,2,false,7.783640596221253,El Archivo de las Tormentas,Roshar,4,2020
Cosmere,3,El Pozo de la Ascension,Cosmere,10,true,1.0094167098636384,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Scadrial,3,El Ritmo de la Guerra,Scadrial,6,true,2.5418935811616112,El Archivo de las Tormentas,Roshar,4,2020
Sheler,3,El camino de los reyes,Sheler,3,true,4.621335122841447,El Archivo de las Tormentas,Roshar,1,2010
Astilla,3,El metal perdido,Astilla,10,true,1.0094167098636384,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Cántico,3,Juramentada,Cántico,6,true,2.5418935811616112,El Archivo de las Tormentas,Roshar,3,2017
Tanavast,3,Palabras radiantes,Tanavast,4,true,3.758288905486104,El Archivo de las Tormentas,Roshar,2,2014
Sazed,3,Sombras de identidad,Sazed,5,true,3.088858251543474,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Investidura,3,Sombras de identidad,Investidura,9,true,1.3254982568371176,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Investidura,3,Brazales de duelo,Investidura,9,true,1.3254982568371176,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Lasca,3,Danzante del Filo,Lasca,10,true,1.0094167098636384,,,,
Lasca,3,El Imperio Final,Lasca,10,true,1.0094167098636384,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Paige,3,El Ritmo de la Guerra,Paige,3,true,4.621335122841447,El Archivo de las Tormentas,Roshar,4,2020
Investidura,3,El aliento de los dioses,Investidura,9,true,1.3254982568371176,El aliento de los dioses,Nalthis,1,2009
Teft,3,Esquirla del Amanecer,Teft,5,true,3.088858251543474,,,,
Piedad,3,Juramentada,Piedad,2,false,5.8377304471659395,El Archivo de las Tormentas,Roshar,3,2017
Investidura,3,Aleacion de Ley,Investidura,9,true,1.3254982568371176,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Investidura,3,Aleacion de Ley,Investidura,9,true,1.3254982568371176,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Conservación,3,Brazales de duelo,Conservación,7,true,2.0794415416798357,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Cosmere,3,El Heroe de las Eras,Cosmere,10,true,1.0094167098636384,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Piedad,3,El Ritmo de la Guerra,Piedad,2,false,5.8377304471659395,El Archivo de las Tormentas,Roshar,4,2020
Perpendicularidad,3,El metal perdido,Perpendicularidad,3,true,4.621335122841447,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Elend,3,El metal perdido,Elend,6,true,2.5418935811616112,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Vivenna,3,Juramentada,Vivenna,3,true,4.621335122841447,El Archivo de las Tormentas,Roshar,3,2017
Kelsier,3,Sombras de identidad,Kelsier,7,true,2.0794415416798357,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Honor,3,Danzante del Filo,Honor,6,true,2.5418935811616112,,,,
Iniciación,3,El Ritmo de la Guerra,Iniciación,3,true,4.621335122841447,El Archivo de las Tormentas,Roshar,4,2020
Nalthis,3,El Ritmo de la Guerra,Nalthis,2,false,5.8377304471659395,El Archivo de las Tormentas,Roshar,4,2020
Adonalsium,3,El Ritmo de la Guerra,Adonalsium,5,true,3.088858251543474,El Archivo de las Tormentas,Roshar,4,2020
Cántico,3,El camino de los reyes,Cántico,6,true,2.5418935811616112,El Archivo de las Tormentas,Roshar,1,2010
