Termino,Repeticiones,Libro_Origen,Palabra,Num_Libros_Con_Termino,Es_Global,TFIDF_like,Saga,Mundo,Orden_Publicacion,Anio_Publicacion
Wayne,690,Aleacion de Ley,Wayne,4,true,864.4064482618039,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Marasi,676,Brazales de duelo,Marasi,4,true,846.8677667028688,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Marsh,667,TOTAL,Marsh,5,true,,,,,
Wayne,654,Brazales de duelo,Wayne,4,true,819.3069813959708,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Siri,628,El aliento de los dioses,Siri,1,false,1657.3280029983823,El aliento de los dioses,Nalthis,1,2009
Siri,628,TOTAL,Siri,1,false,,,,,
Straff,624,TOTAL,Straff,3,true,,,,,
Navani,615,Juramentada,Navani,4,true,770.4492256246514,El Archivo de las Tormentas,Roshar,3,2017
Ruina,609,TOTAL,Ruina,8,true,,,,,
Odium,605,TOTAL,Odium,5,true,,,,,
Vasher,586,TOTAL,Vasher,3,true,,,,,
Vasher,577,El aliento de los dioses,Vasher,3,true,888.836788626505,El aliento de los dioses,Nalthis,1,2009
Straff,570,El Pozo de la Ascension,Straff,3,true,878.053673339875,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Dockson,564,TOTAL,Dockson,3,true,,,,,
Denth,555,El aliento de los dioses,Denth,1,false,1464.6768179364685,El aliento de los dioses,Nalthis,1,2009
Denth,555,TOTAL,Denth,1,false,,,,,
Gavilar,550,TOTAL,Gavilar,4,true,,,,,
Alomancia,533,TOTAL,Alomancia,9,true,,,,,
Sazed,529,El Imperio Final,Sazed,5,true,544.6686716888327,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Zane,528,TOTAL,Zane,2,false,,,,,
Lirin,523,TOTAL,Lirin,4,true,,,,,
Wayne,511,Sombras de identidad,Wayne,4,true,640.161876901133,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Ruina,509,El Heroe de las Eras,Ruina,8,true,284.84443605913015,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Syl,500,El Ritmo de la Guerra,Syl,5,true,514.809708590579,El Archivo de las Tormentas,Roshar,4,2020
Jasnah,492,Palabras radiantes,Jasnah,4,true,616.359380499721,El Archivo de las Tormentas,Roshar,2,2014
Elend,486,El Imperio Final,Elend,6,true,411.786760148181,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Zane,485,El Pozo de la Ascension,Zane,2,false,943.7664222918269,Nacidos de la Bruma (Era 1),Scadrial,2,2007
TenSoon,483,TOTAL,TenSoon,6,true,,,,,
MeLaan,483,TOTAL,MeLaan,4,true,,,,,
Luz tormentosa,480,El Ritmo de la Guerra,Luz tormentosa,5,true,494.2173202469559,El Archivo de las Tormentas,Roshar,4,2020
Marasi,475,Sombras de identidad,Marasi,4,true,595.0624100352999,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Armonía,475,TOTAL,Armonía,5,true,,,,,
Jasnah,465,Juramentada,Jasnah,4,true,582.5347803503462,El Archivo de las Tormentas,Roshar,3,2017
Rlain,459,TOTAL,Rlain,3,true,,,,,
Steris,425,Brazales de duelo,Steris,4,true,532.4242616105314,Nacidos de la Bruma (Era 2),Scadrial,3,2016
